"GEO_ID","NAME","B17018_001E","B17018_001M","B17018_002E","B17018_002M","B17018_003E","B17018_003M","B17018_004E","B17018_004M","B17018_005E","B17018_005M","B17018_006E","B17018_006M","B17018_007E","B17018_007M","B17018_008E","B17018_008M","B17018_009E","B17018_009M","B17018_010E","B17018_010M","B17018_011E","B17018_011M","B17018_012E","B17018_012M","B17018_013E","B17018_013M","B17018_014E","B17018_014M","B17018_015E","B17018_015M","B17018_016E","B17018_016M","B17018_017E","B17018_017M","B17018_018E","B17018_018M","B17018_019E","B17018_019M","B17018_020E","B17018_020M","B17018_021E","B17018_021M","B17018_022E","B17018_022M","B17018_023E","B17018_023M","B17018_024E","B17018_024M","B17018_025E","B17018_025M","B17018_026E","B17018_026M","B17018_027E","B17018_027M","B17018_028E","B17018_028M","B17018_029E","B17018_029M","B17018_030E","B17018_030M","B17018_031E","B17018_031M","B17018_032E","B17018_032M","B17018_033E","B17018_033M","B17018_034E","B17018_034M","B17018_035E","B17018_035M",
"860Z200US24412","ZCTA5 24412","104","122","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","104","122","104","122","0","13","0","13","0","13","104","122","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24413","ZCTA5 24413","94","37","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","94","37","94","37","14","14","24","15","39","34","17","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24415","ZCTA5 24415","18","29","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","29","18","29","0","13","0","13","0","13","18","29","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24416","ZCTA5 24416","2607","262","363","180","96","75","25","35","5","12","54","71","12","17","267","152","39","40","8","17","18","28","13","23","0","19","228","147","104","105","79","78","45","47","0","19","2244","299","1658","247","110","72","383","165","773","194","392","153","586","200","180","105","12","24","60","60","31","39","77","76","406","169","10","19","104","66","140","81","152","140",
"860Z200US24421","ZCTA5 24421","963","176","54","75","54","75","0","13","54","75","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","909","150","831","154","124","92","306","117","122","64","279","101","78","56","14","23","0","13","14","23","0","13","0","13","64","49","0","13","49","44","7","13","8","13",
"860Z200US24422","ZCTA5 24422","1310","166","173","73","81","51","22","33","45","30","0","19","14","23","92","57","12","19","12","19","0","19","0","19","0","19","80","53","11","17","52","46","7","14","10","13","1137","155","848","157","16","15","233","87","250","97","349","111","289","125","100","78","1","3","74","75","17","21","8","12","189","97","35","54","90","74","51","44","13","22",
"860Z200US24426","ZCTA5 24426","3514","264","394","124","138","57","47","40","34","21","57","53","0","21","256","105","46","41","0","21","7","11","25","36","14","31","210","94","32","50","132","62","43","48","3","5","3120","248","2649","227","162","90","1201","201","779","155","507","131","471","127","259","90","32","33","172","79","55","44","0","21","212","87","16","17","76","63","93","56","27","27",
"860Z200US24430","ZCTA5 24430","434","98","57","39","31","30","0","13","31","30","0","13","0","13","26","29","0","13","0","13","0","13","0","13","0","13","26","29","0","13","7","12","16","26","3","5","377","89","283","79","20","21","136","58","103","62","24","25","94","47","34","27","4","6","15","16","1","4","14","20","60","36","6","9","43","34","11","14","0","13",
"860Z200US24431","ZCTA5 24431","705","180","126","99","0","13","0","13","0","13","0","13","0","13","126","99","0","13","0","13","0","13","0","13","0","13","126","99","0","13","111","99","15","25","0","13","579","192","394","164","25","36","155","111","115","77","99","110","185","121","63","47","0","13","29","35","9","16","25","38","122","108","20","30","44","59","58","89","0","13",
"860Z200US24432","ZCTA5 24432","96","46","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","96","46","96","46","11","18","41","38","44","33","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24433","ZCTA5 24433","30","21","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","30","21","30","21","4","6","20","21","6","7","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24435","ZCTA5 24435","492","148","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","492","148","470","162","10","16","110","87","126","75","224","98","22","29","8","15","0","13","0","13","8","15","0","13","14","24","0","13","0","13","0","13","14","24",
